Gamekey,Home_team,Away_Team,Day_of_week,Month,Day,Year,Week,Player_Short_Name,Player_Team,Home_Team,rushing_yds,rushing_tds,rushing_twoptm,rushing_yds_FF_pts,rushing_tds_FF_pts,rushing_twoptm_FF_pts,total_FF_pts
55867,SEA,SF,Sun,9,15,2013,2,M.Lynch,SEA,True,98,2,0,9.0,12.0,0.0,21.0
55867,SEA,SF,Sun,9,15,2013,2,R.Turbin,SEA,True,31,0,0,3.0,0.0,0.0,3.0
55867,SEA,SF,Sun,9,15,2013,2,S.Ware,SEA,True,10,0,0,1.0,0.0,0.0,1.0
55867,SEA,SF,Sun,9,15,2013,2,C.Kaepernick,SF,False,87,0,0,8.0,0.0,0.0,8.0
55867,SEA,SF,Sun,9,15,2013,2,F.Gore,SF,False,16,0,0,1.0,0.0,0.0,1.0
55867,SEA,SF,Sun,9,15,2013,2,A.Dixon,SF,False,4,0,0,0.0,0.0,0.0,0.0
55867,SEA,SF,Sun,9,15,2013,2,K.Hunter,SF,False,-7,0,0,-1.0,0.0,0.0,-1.0
55868,CIN,PIT,Mon,9,16,2013,2,A.Dalton,CIN,True,10,0,0,1.0,0.0,0.0,1.0
55868,CIN,PIT,Mon,9,16,2013,2,G.Bernard,CIN,True,38,1,0,3.0,6.0,0.0,9.0
55868,CIN,PIT,Mon,9,16,2013,2,B.Green-Ellis,CIN,True,75,0,0,7.0,0.0,0.0,7.0
55868,CIN,PIT,Mon,9,16,2013,2,M.Sanu,CIN,True,4,0,0,0.0,0.0,0.0,0.0
55868,CIN,PIT,Mon,9,16,2013,2,B.Roethlisberger,PIT,False,6,0,0,0.0,0.0,0.0,0.0
55868,CIN,PIT,Mon,9,16,2013,2,F.Jones,PIT,False,37,0,0,3.0,0.0,0.0,3.0
55868,CIN,PIT,Mon,9,16,2013,2,I.Redman,PIT,False,4,0,0,0.0,0.0,0.0,0.0
55868,CIN,PIT,Mon,9,16,2013,2,J.Dwyer,PIT,False,2,0,0,0.0,0.0,0.0,0.0
55868,CIN,PIT,Mon,9,16,2013,2,J.Cotchery,PIT,False,-5,0,0,-1.0,0.0,0.0,-1.0
55869,PHI,KC,Thu,9,19,2013,3,M.Vick,PHI,True,95,0,0,9.0,0.0,0.0,9.0
